variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-wrong_segment_group-feb11f7645,pospischil2008_lts,mutant,wrong_segment_group,biophysical,4.0,4_equivalent_within_tested_domain
m-wrong_segment_group-69f2f09ffc,pospischil2008_lts,mutant,wrong_segment_group,biophysical,0.5,4_equivalent_within_tested_domain
m-wrong_segment_group-69f2f09ffc,pospischil2008_lts,mutant,wrong_segment_group,biophysical,1.0,4_equivalent_within_tested_domain
m-wrong_segment_group-69f2f09ffc,pospischil2008_lts,mutant,wrong_segment_group,biophysical,2.0,4_equivalent_within_tested_domain
m-wrong_segment_group-69f2f09ffc,pospischil2008_lts,mutant,wrong_segment_group,biophysical,4.0,4_equivalent_within_tested_domain
m-increase_dt-12296e231e,pospischil2008_lts,mutant,increase_dt,numerical,0.5,5_non_equivalent
m-increase_dt-12296e231e,pospischil2008_lts,mutant,increase_dt,numerical,1.0,6_silent_under_canonical
m-increase_dt-12296e231e,pospischil2008_lts,mutant,increase_dt,numerical,2.0,4_equivalent_within_tested_domain
m-increase_dt-12296e231e,pospischil2008_lts,mutant,increase_dt,numerical,4.0,4_equivalent_within_tested_domain
m-increase_dt-26c6d170d7,pospischil2008_lts,mutant,increase_dt,numerical,0.5,5_non_equivalent
m-increase_dt-26c6d170d7,pospischil2008_lts,mutant,increase_dt,numerical,1.0,5_non_equivalent
m-increase_dt-26c6d170d7,pospischil2008_lts,mutant,increase_dt,numerical,2.0,5_non_equivalent
m-increase_dt-26c6d170d7,pospischil2008_lts,mutant,increase_dt,numerical,4.0,4_equivalent_within_tested_domain
m-solver_config-05a4d042ce,pospischil2008_lts,mutant,solver_config,numerical,0.5,4_equivalent_within_tested_domain
m-solver_config-05a4d042ce,pospischil2008_lts,mutant,solver_config,numerical,1.0,4_equivalent_within_tested_domain
m-solver_config-05a4d042ce,pospischil2008_lts,mutant,solver_config,numerical,2.0,4_equivalent_within_tested_domain
m-solver_config-05a4d042ce,pospischil2008_lts,mutant,solver_config,numerical,4.0,4_equivalent_within_tested_domain
m-solver_config-f0ab9d8f86,pospischil2008_lts,mutant,solver_config,numerical,0.5,4_equivalent_within_tested_domain
m-solver_config-f0ab9d8f86,pospischil2008_lts,mutant,solver_config,numerical,1.0,4_equivalent_within_tested_domain
m-solver_config-f0ab9d8f86,pospischil2008_lts,mutant,solver_config,numerical,2.0,4_equivalent_within_tested_domain
m-solver_config-f0ab9d8f86,pospischil2008_lts,mutant,solver_config,numerical,4.0,4_equivalent_within_tested_domain
m-recording_resolution-7d86fbc601,pospischil2008_lts,mutant,recording_resolution,numerical,0.5,4_equivalent_within_tested_domain
m-recording_resolution-7d86fbc601,pospischil2008_lts,mutant,recording_resolution,numerical,1.0,4_equivalent_within_tested_domain
m-recording_resolution-7d86fbc601,pospischil2008_lts,mutant,recording_resolution,numerical,2.0,4_equivalent_within_tested_domain
m-recording_resolution-7d86fbc601,pospischil2008_lts,mutant,recording_resolution,numerical,4.0,4_equivalent_within_tested_domain
m-recording_resolution-46bcb819ee,pospischil2008_lts,mutant,recording_resolution,numerical,0.5,5_non_equivalent
m-recording_resolution-46bcb819ee,pospischil2008_lts,mutant,recording_resolution,numerical,1.0,5_non_equivalent
m-recording_resolution-46bcb819ee,pospischil2008_lts,mutant,recording_resolution,numerical,2.0,4_equivalent_within_tested_domain
m-recording_resolution-46bcb819ee,pospischil2008_lts,mutant,recording_resolution,numerical,4.0,4_equivalent_within_tested_domain
