mutant_id,model_id,family,protocol_id,detected
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P01_baseline,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P02_weak_step,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P04_step_2x,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P05_long_step,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P06_ramp,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P08_rebound,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P09_short_pulse,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-scale_gate_time_constant-bac677a78d,pospischil2008_lts,biophysical,P03_rheobase,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P00_canonical,True
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P01_baseline,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P02_weak_step,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P04_step_2x,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P05_long_step,True
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P06_ramp,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P07_hyperpolarizing_step,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P08_rebound,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P09_short_pulse,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P10_paired_pulses,False
m-shift_initial_voltage-11bd93c6c3,pospischil2008_lts,biophysical,P03_rheobase,True
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P00_canonical,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P01_baseline,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P02_weak_step,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P04_step_2x,True
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P05_long_step,True
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P06_ramp,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P07_hyperpolarizing_step,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P08_rebound,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P09_short_pulse,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P10_paired_pulses,False
m-increase_dt-12296e231e,pospischil2008_lts,numerical,P03_rheobase,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P00_canonical,True
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P01_baseline,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P02_weak_step,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P04_step_2x,True
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P05_long_step,True
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P06_ramp,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P07_hyperpolarizing_step,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P08_rebound,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P09_short_pulse,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P10_paired_pulses,False
m-increase_dt-26c6d170d7,pospischil2008_lts,numerical,P03_rheobase,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P00_canonical,True
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P01_baseline,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P02_weak_step,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P04_step_2x,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P05_long_step,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P06_ramp,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P07_hyperpolarizing_step,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P08_rebound,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P09_short_pulse,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P10_paired_pulses,False
m-recording_resolution-46bcb819ee,pospischil2008_lts,numerical,P03_rheobase,False
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P00_canonical,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P01_baseline,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P02_weak_step,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P04_step_2x,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P05_long_step,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P06_ramp,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P07_hyperpolarizing_step,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P08_rebound,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P09_short_pulse,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P10_paired_pulses,True
m-wrong_channel-091a20b452,pospischil2008_lts,reference,P03_rheobase,True
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P00_canonical,True
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P01_baseline,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P02_weak_step,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P04_step_2x,True
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P05_long_step,True
